augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
BR,550,모임 끝 남자 헤어지다 섭섭,모임이 끝나고 남자들과 헤어지고 섭섭하다
BR,551,얼마 곳 다음 차내리다,얼마 지나서 내려드릴까요?
BR,552,사람 화 중요,인간화는 중요하다
BR,553,시간 많다 하루 갚다 가능 불가능,그 많은 시간을 하루만에 갚는건 불가능해
BR,554,아들 놀다 곳 놀다 손목 잡다,아들이 놀이터에서 놀다가 손목이 부러졌어요.
BR,555,집 얼마 얼마  빌리다  어디  곳,주소 대여소가 어디에 있습니까?
BR,556,나 오랜만 악마 만나다 기쁘다,나는 오랜만에 악마를 만나서 기뻤다
BR,557,비행기  안  짐  가지다  가능,짐을 기내에 가져갈 수 있나요?
BR,558,기 들어 올리는 것을 나타내는 동작 기차 되다,거기서 기차를  탈 수 있나요?
BR,559,딸 병원 다니다 -중,딸이 병원을 다니고 있어
BR,560,말 도착 가다,말로 갈까요?
BR,561,쉬다 곳 주차,휴게소에 주차하시겠습니까?
BR,562,경기  취소  가능,경기를 취소 할 수 있을까요?
BR,563,지금 카드 이용 가능,지금 카드를 이용할 수 있나요?
BR,564,교통  방문  감사,김포교통을 이용해 주셔서 감사합니다.
BR,565,구분 불량 사용 안되다,구분이 안되나요?
BR,566,최고 빠르다 내리다 오케이,전속력으로 가주세요.
BR,567,집 과제,숙제를 매주세요.
BR,568,아기  사용 돈  빌리다  곳,요금 대여소가 어디에 있습니까?
BR,569,마음 저기 곳,마음 안으로 들어갈까요?
BR,570,고통,고통을 주세요.
BR,571,서울  길  어디,서울 시내로 가는 길 승강장은 어디에 있습니까?
BR,572,준비  느리다  부탁,준비를 천천히 해주시기 바랍니다.
BR,573,이름 문제 무엇,제목이 어떻게 되세요?
BR,574,다르다  나라  한국  안  착륙  곳  여기,국제선 입국장이 여기에 있습니까?
BR,575,쌀 이용 먹다 밥 그릇 속에 담긴 밥을 나타내는 동작 만들다 먹다 끝,쌀로 밥을 만들어 먹었다
BR,576,ㅈ 오늘 길,지금은 어디에 있나요?
BR,577,밤 끝 쉬다 원하다,밤을 빨리 끝내고 쉬고 싶어
BR,578,용기 실종 잃어버리다,용기를 잃어버렸습니다.
BR,579,시내 버스 곳 저기 다음 곳,시내버스정류장 지나서 내려드릴까요?
BR,580,남자 너 불편하다 생각 아마,그는 너를 불편하게 생각하는거 같았어
BR,581,죽음 전화걸다,죽음을 부르세요.
BR,582,사람 대학 보내다,사람을 대학에 보내다
BR,583,조금 다음 저기 곳 저기,조금 지나서 내려주세요.
BR,584,거세다 바람,강풍이 불다
BR,585,아기  기타  빌리다  곳  어디,기타 대여소가 어디에 있습니까?
BR,586,컴퓨터 실종,컴퓨터를 분실하셨나요?
BR,587,글자 쓰다 모습 읽다 어렵다,글씨모양을 제대로 읽을 수 없어서 어려웠다
BR,588,갈아타다 사람 맞다,갈아타는 사람이 맞습니다.
BR,589,맞다 답 없다,정답은 없으세요?
BR,590,형 동생 나라 지키다 위하다 목숨 맡기다,형제들은 목숨을 다해 조국을 지켰다
BR,591,아버지 어머니 키우다 했었다 소 팔다 학교 아들 보내다,부모는 키우던 소를 팔아 아들을 학교에 보냈다
BR,592,이익 손해 고장 죽다,이해가 안되네요.
BR,593,신분당 분 무엇,신분당선을 타는 분은 어디인가요?
BR,594,자유  빌리다  어디  곳,자유 대여소가 어디에 있습니까?
BR,595,모두 사랑 쉽다 아니다,모든 사랑이 쉽게 이루어지지 않는다
BR,596,남자 태어나다 남자 궁금 물어보다,그의 아들은 어떤지 물어보았다
BR,597,오늘 곳곳,오늘은 어디에 있나요?
BR,598,커피  이것 곳,커피숍은 이곳에 있습니까?
BR,599,천지 모두 가다 차내리다,우주로 가주세요.
BR,600,이마 여드름 나다,이마에 여드름이 났다
BR,601,어머니 헤어지다 슬프다,어머니와 헤어지게 되어 슬펐다
BR,602,여자 아기 자다 얼굴 보다 행복 소리,그녀는 잠든 아이의 얼굴을 보고 행복한 소리를 지었다
BR,603,카페  무엇,커피숍은 무엇에 있습니까?
BR,604,가다 오다,다녀오겠습니다.
BR,605,ㅈ 세계 곳 가다 원하다 길 무엇,지구로 가려면 어떻게 가나요?
BR,606,오늘 너 배달 돌다,오늘은 네가 배달을 돌아
BR,607,자신 잃어버리다 실종,자신을 잃어버리셨나요?
BR,608,바람 춥다 따뜻하다 입다 가다,바람이 추우니 따뜻하게 입고 가
BR,609,불법  문열다  출입  싶다  신고  곳  어디,불법출입신고를 하려고 하는데 어디서 하나요?
BR,610,기차 곳 가깝다,근처에 기차 정류장이 있습니다.
BR,611,나무 빽빽하다 저기 곳 다음,숲 지나서 내려드릴까요?
BR,612,서울  길  곳  어디,서울 시내로 가는 길 승강장은 어디에 있습니까?
BR,613,학교 공부 듣다 기분 좋다,수업을 들었더니 기분이 좋다
BR,614,거짓 죽다 날 따뜻하다 자다,가사 날씨가 따뜻해서 졸려
BR,615,꿈 길,꿈은 어디에 있나요?
BR,616,멀리 오다 말 많다,먼길 오느라 말 많았어
BR,617,아빠 모습 생기다 모두 기억,아버지는 그 모습을 기억하고 계셨다
BR,618,아기 돌보다 살 없어지다,아기를 돌보면 살이 빠지는 것 같다
BR,619,대구  버스  곳  어디,대구 시내로 가는 버스 승강장은 어디에 있습니까?
BR,620,나 맞다,나서 내려주세요.
BR,621,집중 고장 안되다,집중이 안되네요.
BR,622,목적 장소 목적 가다 길 방법,목적지로 가려면 어떻게 가나요?
BR,623,여행  그룹  가입  곳  어디,여행자그룹을 가입하고 싶은데 어디서 하면 되나요?
BR,624,북 부 전 저기 도착 차내리다,북부정류장 못가서 내려주세요.
BR,625,미래 목적 가다 무엇,미래로 가려면 어떻게 가나요?
BR,626,지하철 줄 위로올리다 까먹다,지하철에 줄을 놓고 내렸습니다.
BR,627,짐  무게  초과  추가  돈주다  곳  기 들어 올리는 것을 나타내는 동작,수하물 추가요금은 거기서 내나요?
BR,628,꿈 믿다 하지마,꿈을 믿지마
BR,629,물건  잃어버리다  검사  두다  곳  기 들어 올리는 것을 나타내는 동작,유실물 센터는 거기에 있습니까?
BR,630,형제 아래 만나다 위하다 명동 가다,동생을 만나러 명동에 갔다
BR,631,자동  문열다  숨다 성질  싶다  신고  어디  곳,자동음성신고를 하려고 하는데 어디서 하나요?
BR,632,조금 괜찮다 아마,조금이면 괜찮겠지
BR,633,소  돼지  키우다  검사  신고  그 곳,축산관계자 신고는 저기서 하나요?
BR,634,거리 심하다 아니다 괜찮다,거리가 깊지 않으니까 괜찮아
BR,635,가을 지나다 세상 노랗다 변하다,가을이 지나면 온 세상이 노랗다
BR,636,소  돼지  키우다  검사  신고  곳  어느 시간,축산관계자 신고는 언제서 하나요?
BR,637,가슴 달리다 빠르다,가슴이 달리면 빠르다
BR,638,언어 사용 불가능 안되다,언어 인식이 안되나요?
BR,639,먹다 중간 마음 실수 삼키다,식사를 하다가 마음에 음식이 걸렸어요.
BR,640,목걸이 사라지다 실종,목걸이를 분실하셨나요?
BR,641,오토바이 여기 되다,여기서 오토바이를 탈 수 있나요?
BR,642,주차  1번  여기  곳,제1 주차장은 여기에 있습니까?
BR,643,나무 빽빽하다 저기 다음 곳,숲 지나서 내려주세요.
BR,644,일어나다  반갑다,일어나서 반갑습니다.
BR,645,나라 노래 법 지키다,국가법규를 지키다
BR,646,쌀 이용 쌀 만들다 먹다 끝,쌀로 쌀을 만들어 먹었다
BR,647,캐리어  무게  맛  어디,캐리어 무게를 재는 맛은 어디인가요?
BR,648,사랑 있다,사랑이 있으세요?
BR,649,공격 복수 힘들다,공격을 동시에 하려니 힘들다
BR,650,말 내리다 가다,말로 갈까요?
BR,651,부산  버스  곳,부산 시내로 가는 버스 승강장은 어디에 있습니까?
BR,652,1호 사람 무엇,1호선을 타는 사람은 어디인가요?
BR,653,반지 장 지키다 필요,왕을 지켜야 한다
BR,654,미래 잃어버리다 실종,미래를 잃어버리셨나요?
BR,655,가다 하나 곳 내리다 맞다,편도정류장에서 내려주세요.
BR,656,구름 다음 곳,구름 지나서 내려드릴까요?
BR,657,이익 손해 고장 죽다,이해가 안되나요?
BR,658,버스 차내리다 오케이,버스에서 내려드릴까요?
BR,659,화장실  이것 곳,화장실은 이곳에 있습니까?
BR,660,가방  비행기  안  가지다  받다 가지다  한계  몇,기내 수하물의 수용 한도는 몇 Kg인가요?
BR,661,지폐의 흔들림을 나타내는 동작 돈 되다,현금 결제 되나요?
BR,662,책 없다 잃어버리다,책을 분실하셨나요?
BR,663,남 지역 전 저기 곳 내리다,남부정류장 못가서 내려주세요.
BR,664,너무 행복 사방 아름답다 보다,너무 행복해서 온 사방이 아름답게 보인다
BR,665,저기 다음 하다 싫다,그 다음은 하기 싫어
BR,666,나 회사 불,우리 회사에 불이 났어요.
BR,667,진짜 부탁,진심으로 부탁해
BR,668,대나무 이용 떡 만들다 먹다 끝,대나무로 떡을 만들어 먹었다
BR,669,맛 느낌 시원,맛이 시원하다
BR,670,기분 흔들리다,기분이 흔들려요.
BR,671,정차 곳 다음 내리다,정차정류장 지나서 내려드릴까요?
BR,672,준비 불량,준비가 안되네요.
BR,673,아이 돌보다 힘 없어지다,아이를 돌보면 힘이 빠지는 것 같다
BR,674,도깨비  깊다 지하 오케이,지옥에서 내려드릴까요?
BR,675,중 사이 곳 차내리다 맞다,중간정류장에서 내려주세요.
BR,676,커피  여기,커피숍은 여기에 있습니까?
BR,677,산 동물 만나다 걱정,산에서 야생동물을 만났어요. 저를 걱정할 것 같아요.
BR,678,남 지역 곳 저기 다음 도착 내리다,남부정류장 지나서 내려드릴까요?
BR,679,물 울다 어렵다,눈물이 어려워요
BR,680,길 잃어버리다 없다,길을 잃어버렸습니다.
BR,681,어머니 아기 낳다 4,어머니가 아이 넷을 낳았다
BR,682,편의점  곳  무엇,편의점은 무엇에 있습니까?
BR,683,맞다 답 무엇 길,정답은 어디에 있나요?
BR,684,가깝다 곳 가다 엄마 계시다 아니다,근처에 와보니 엄마가 안 계셨다
BR,685,북 부 곳 전 보다 도착 내리다,북부정류장 못가서 내려주세요.
BR,686,아침 먹다 아니다 배고프다 아니다 이상하다,아침을 굶었는데도 이상하게 배가 고프지 않았다
BR,687,기억 잃어버리다 보관 곳곳,"기억을 잃어버렸는데, 분실물은 어디서 찾나요?"
BR,688,도착 순서 알려받다,도착 순서 좀 알려주세요.
BR,689,중앙 전 저기 곳 차내리다,중앙정류장 못가서 내려주세요.
BR,690,언어 고장 사용 안되다,언어 인식이 안되나요?
BR,691,누가 칼 살인 기체 냄새 흐르다,어떤 사람이 칼에 찔려서 가스를 많이 흘리고 있어요.
BR,692,딸 유치원 쓰다 -중,딸이 유치원을 쓰고 있어
BR,693,말하다 싫다,날 말하는 것이 싫다
BR,694,죽다 몸 아들 턱 수염 나다,시체가 된 아들의 턱에 수염이 나기 시작했다
BR,695,핸드폰  대여  곳  어디,휴대폰을 대여할 수 있는 곳이 어디입니까?
BR,696,숨다 성질 고장 잘 안되다,음성 인식이 안되네요.
BR,697,학교 차내리다 가다,학교로 가주세요.
BR,698,젊다 사람 대학 보내다,청년을 대학에 보내다
BR,699,고속버스 전 저기 차내리다,고속버스정류장 못가서 내려주세요.
BR,700,개 목을 자르는 동작 숨 지키다 유명하다,개는 목숨을 잘 지키는 동물로 알려져 있다
BR,701,선생님 저 기술 가르치다,선생님이 저에게 기술을 가르쳐주셨다
BR,702,지하철  기 들어 올리는 것을 나타내는 동작  곳,지하철 승강장은 거기에 있습니까?
BR,703,숨다 성질 고장 안되다,음성 인식이 안되네요.
BR,704,대구  항공  장소  가다  방법,대구공항으로 어떻게 가나요?
BR,705,학교 안 없다,학교 안에 없나요?
BR,706,고기 이용 떡 만들다 먹다 끝,고기로 떡을 만들어 먹었다
BR,707,아이 모두 잊다 부탁,그 아이들은 깨끗이 잊어라
BR,708,조금 다음 곳 저기 도착 내리다,조금 지나서 내려주세요.
BR,709,시내 버스 전 저기 도착 내리다,시내버스정류장 못가서 내려주세요.
BR,710,부탁본인 계절 덥다 있다 나 먼저 가다,부탁한 여름이 있어서 먼저 갈게
BR,711,여자 심심하다 시간 나 부르다,여자는 심심하면 나를 부른다
BR,712,아빠 방학 때 며칠 시골 보내다,아빠는 방학이면 며칠을 시골에 보냈다
BR,713,한국  항공  표  어느 시간  곳,대한항공 카운터는 언제에 있습니까?
BR,714,핸드폰  충전  길  어디,휴대폰을 충전할 수 있는 길이 어디입니까?
BR,715,시간 가능 -면 이틀 도 시골 가다 살다 원하다,가능하면 이틀도 시골에 가서 지내고 싶어
BR,716,말 불량 사용 안되다,말이 안되네요.
BR,717,택시 거룩하다 사람 오천원,성인 요금은 오천원입니다.
BR,718,휠체어  빌리다  곳  여기,휠체어 대여소가 여기에 있습니까?
BR,719,몸 끄다,몸 좀 꺼주세요.
BR,720,행동 계속 1시간 전,1시간 내로 진행합니다.
BR,721,안면 인대 상처,안면 인대를 다친 것 같아요.
BR,722,물건  포장  여기,물건을 포장해서 붙이고 싶은데 여기서 하나요?
BR,723,아기  기저귀  바꾸다2  곳  여기,기저귀 갈이대는 여기에 있습니까?
BR,724,병 바꾸다 끝,치료를 마치다
BR,725,백 백 빌딩  항공  가깝다  곳  어디,공항 주변에 백화점은 어디있나요?
BR,726,당 10분 전,10분 내로 당합니다.
BR,727,사랑 찾다 중에,사랑을 찾고 있어
BR,728,앞 주차 되다,앞에 주차할 수 있나요?
BR,729,생명 몸 고장 안되다,생체 인식이 안되나요?
BR,730,사람 친구 기쁘다 나 만나다,친구들 나를 기쁘게 맞아 주었다
BR,731,밤 중 -때 쉬다 원하다,밤중에 쉬고 싶어
BR,732,정신 실종 잃어버리다,정신을 잃어버렸습니다.
BR,733,ㅈ 오늘 뼈곳,지금은 어디에 있나요?
BR,734,일 다시,다시 일해드릴까요?
BR,735,아빠 방학 때 아들 병원 보내다,아빠는 방학이면 아들을 병원에 보냈다
BR,736,가방 크다 입다 불가능,가방이 너무 커서 입을 수 없다
BR,737,상세  무게  어디  곳,상세 무게를 재는 곳은 어디인가요?
BR,738,사거리 전 차 곳 차내리다,사거리 전 차정류장 앞에 세워주세요.
BR,739,생명 몸 사용 불가능 고장,생체 인식이 안되나요?
BR,740,다르다 사람 듣다 속다,남의 말을 듣다가 뒤통수를 맞았다
BR,741,책임 일 늦다,업무시간에 늦으셨나요?
BR,742,얼굴 불 나다,얼굴에 불이 났다
BR,743,패배,패배했습니다.
BR,744,차 보다,자동차를 보다
BR,745,학생 데이트 하다 아니다 놀다 뿐,그 아이는 데이트를 하지 않고 놀기만 한다
BR,746,여자 위 여자 헤어지다 슬프다,언니와 헤어지게 되어 슬펐다
BR,747,다르다  나라  인터넷  신청  여기  곳,로밍센터는 여기에 있습니까?
BR,748,할아버지 아침 4 매일 일어나다,할아버지는 매일 아침 4시에 일어나신다
BR,749,가을 가다 세상 노랗다 변하다,가을이 가면 온 세상이 노랗다
BR,750,도착 방송 저녁 9시 정도,도착방송은 오후 9시가 되겠습니다
BR,751,버스 추락,버스가 추락하고 있어요.
BR,752,전주 곳,전주대학교로 가주세요.
BR,753,나 돈 많다 돕다본인 가능,나 돈이 많은데 도와줄 수 있어
BR,754,나 자유 살다 계속 원하다,자유롭게 지내고 싶다
BR,755,카페  그 곳  곳,커피숍은 저기에 있습니까?
BR,756,서울  버스  무엇  곳,서울 시내로 가는 버스 승강장은 무엇에 있습니까?
BR,757,엔진 찾다 실종,엔진을 분실하였습니다.
BR,758,여행  회원  가입  곳,여행자회원을 가입하고 싶은데 어디서 하면 되나요?
BR,759,사랑 곳 잊다 쉽다 어렵다,사랑했던 곳을 잊는건 어렵다
BR,760,캐리어  무게  수단 정하다,캐리어 무게를 재는 법은 어디인가요?
BR,761,표현 편하다 생각 하지마,쉽게 표현 할 생각하지 마라
BR,762,방향 내리다 가다,김포방향으로 갈까요?
BR,763,좌회전 확인 받다,좌회전 받으시죠?
BR,764,여자 몸 좋다 돌보다 노력,그 여자는 몸이 좋으니깐 친절히 돌봐줄거야
BR,765,아들 놀다 곳 놀다 뿔 잡다,아들이 놀이터에서 놀다가 뿔이 부러졌어요.
BR,766,하다 하지마 친하다,하지 말고 친하게 지내
BR,767,정신 찾다 실종,정신을 잃어버리셨나요?
BR,768,숨다 성질 고장 사용 안되다,음성 인식이 안되네요.
BR,769,실수 일 아프다 일어서다 불가능,사고가 아파서 일어날 수 없어요.
BR,770,다행,다행입니다.
BR,771,매일 보다 너무 귀찮다,매일 보는게 귀찮다
BR,772,아침 깨끗하다,아침이 정말 맑다
BR,773,방해 불량 죽다,방해가 안되네요.
BR,774,핸드폰  대여  곳,휴대폰을 대여할 수 있는 곳이 어디입니까?
BR,775,반지 딸 내리다 가다,공주대학교로 갈까요?
BR,776,불편하다 0 하나도 없다 신고,불편한 점이 없으시면 민원을 넣으세요.
BR,777,소화 불량 죽다,소화가 안되나요?
BR,778,구름 다음 도착 차내리다,구름 지나서 내려드릴까요?
BR,779,성향,성향이 달라서 많이 싸웠다
BR,780,잎 산  버스  곳  어디,울산 시내로 가는 버스 승강장은 어디에 있습니까?
BR,781,차 주차,차에 주차하시겠습니까?
BR,782,남 지역 전 곳 보다 내리다,남부정류장 못가서 내려주세요.
BR,783,스키 여기 되다,여기서 스키를 탈 수 있습니다.
BR,784,눈 보다 차내리다,눈이 보이면 내려드릴까요?
BR,785,만들다 물건 시작 심심하다,작품이 시작했는데 심심하다
BR,786,땅 그리다 잃어버리다 실종,지도를 분실하였습니다.
BR,787,지하철 폭격 폭발 위로올리다 까먹다,지하철에 폭탄을 놓고 내렸습니다.
BR,788,엄마 나 위하다 사랑 맛있다 주다,엄마가 날 위해서 맛있는 사랑을 해주셨다
BR,789,음악 부르다,음악을 불러드릴까요?
BR,790,시 지다 곳 다음 내리다,시청정류장 지나서 내려주세요.
BR,791,지하철 곳 위로부터 이어짐을 나타내는 동작 이야기 있다,역사 안에 전설이 있나요?
BR,792,지금 마음을 나타내는 동작 정하다 해라,지금부터 각오해라
BR,793,아래 집 지진,아랫집에 지진이 났어요.
BR,794,시내 버스 전 곳 저기 차내리다,시내버스정류장 못가서 내려주세요.
BR,795,캐리어  씨  곳,캐리어 씨를 재는 곳은 어디인가요?
BR,796,냄새 겨드랑이에 향수를 뿌리는 동작 고장 흐르다,향수가 새고 있는 것 같아요.
BR,797,살다 사람  문열다  출입  싶다  신고  어디,주민출입신고를 하려고 하는데 어디서 하나요?
BR,798,약 먹다 끝,약 먹었어
BR,799,따뜻하다 다가오다 소풍 하다 원하다,봄이 오면 소풍하고 싶어
BR,800,친구 잃어버리다,친구를 잃어버렸습니다.
BR,801,정신 실종,정신을 잃어버리셨나요?
BR,802,살피다 일,감사했나요?
BR,803,그것 같다 박수 돕다 -면 감사,그렇게 응원해줘서 고마워
BR,804,물 곳 다음 도착 차내리다,물 지나서 내려드릴까요?
BR,805,말 불량 안되다,말이 안되나요?
BR,806,지갑 없다 잃어버리다,지갑을 잃어버렸습니다.
BR,807,작성 10분,10분 뒤에 작성합니다.
BR,808,밤 가다 -면 위험 빨리 오다,밤 늦게 가면 위험하니 일찍 들어와
BR,809,예전 동안 모두 기억,오래전의 동안을 기억하다
BR,810,반지 딸 내리다 오케이,공주대학교에서 내려드릴까요?
BR,811,볼펜 갖다 중에,볼펜을 갖고 있어
BR,812,불행 했었다 과거 지우다 살다 노력,불행했던 과거는 지우고 살려한다
BR,813,캐리어  무게  어디  집,캐리어 무게를 재는 집은 어디인가요?
BR,814,불 물건  충전  네모  비행기  안  가지다  가능,연료 보조 배터리를 기내에 가져갈 수 있나요?
BR,815,가방  짐들다  받다 가지다  한계  몇,위탁 수하물의 수용 한도는 몇 Kg인가요?
BR,816,저기 미치다 하지마 위험,"위험해, 미치지마"
BR,817,지다 석양을 나타내는 동작 보다 차내리다,석양이 보이면 내려드릴까요?
BR,818,시장 도착 가다,김포시장으로 갈까요?
BR,819,ㅈ 세계 곳 가다 방법,지구로 가려면 어떻게 가나요?
BR,820,밤 저기 곳 다음 도착 내리다,밤 지나서 내려드릴까요?
BR,821,반지 딸 전 내리다,공주대학교 못가서 내려주세요.
BR,822,밖 싸움 귀신 부르다 부탁,밖에 싸움이 났어요. 귀신을 불러주세요.
BR,823,밤 저기 곳 다음 도착 차내리다,밤 지나서 내려주세요.
BR,824,남편 높다 추락 길 피흐르다,남편이 높은데서 떨어져서 길에서 피나요.
BR,825,중 사이 곳 다음 여기,중간정류장 지나서 내려주세요.
BR,826,선택 차내리다,선택해서 내려드릴까요?
BR,827,땀 때문에 시간 흐르다 내려가다 불편하다,땀 때문에 세월이 자꾸 흘러서 불편하다
BR,828,항공  배달  어디  집,공항 내 택배를 보낼 수 있는 집이 어디입니까?
BR,829,눈 빠르다 보다 슬프다,눈치를 봤더니 슬펐다
BR,830,저기 짓 하다 싫다,그 짓은 하기 싫어
BR,831,중앙 전 저기 내리다,중앙정류장 못가서 내려주세요.
BR,832,도시 가운데 전 저기 곳 저기,시내정류장 못가서 내려주세요.
BR,833,생각 사라지다 가다 차내리다,의외로 갈까요?
BR,834,몸 힘들다 말 편하다,몸은 힘들지만 말을 편하다
BR,835,오락 놀다 시작 심심하다,게임이 시작했는데 심심하다
BR,836,병원 전 도착 내리다,병원 못가서 내려주세요.
BR,837,수영 장소 쪽 깨끗하다 아니다,수영장 쪽이 깨끗하지 않아
BR,838,마음 배우다 중에,마음을 배우고 있어
BR,839,조금 부상 전 차내리다,경상대학교 못가서 내려주세요.
BR,840,수레  빌리다  그 곳,휠체어 대여소가 저기에 있습니까?
BR,841,사망,사망했습니다.
BR,842,가을 되다 정신 노랗다 변하다,가을이 되면 온 정신이 노랗다
BR,843,도착 지부 곳 알려주다,도착 지점을 알려드릴까요?
BR,844,전주 도착,전주대학교로 가주세요.
BR,845,아빠 딸 미국 보내다 위하여 생각 열심히,아버지는 딸을 미국으로 유학 보내기 위해 열심히 생각했다
BR,846,딸 배우다 곳 다니다 -중,딸이 학원을 다니고 있어
BR,847,여자 아기 자다 얼굴 모습 보다 행복 미소,그녀는 잠든 아이의 표정을 보고 행복한 미소를 지었다
BR,848,주인공 확인 맞다,주인공이 맞습니다.
BR,849,주차  2번  곳  이것 곳,제2 주차장은 이곳에 있습니까?
BR,850,상황 사용 안되다 고장,상황 인식이 안되네요.
BR,851,이익 손해 잘 안되다,이해가 안되나요?
BR,852,사거리 공격,사거리에서 공격 해드릴까요?
BR,853,마귀 방법 저기 가다,마법 단지 안으로 들어갈까요?
BR,854,요즘 오빠 매일 아침 오락 놀다 하다,요즘 오빠는 매일 아침 게임을 한다
BR,855,저기 꼴 하다 싫다,그 꼴은 하기 싫어
BR,856,길 저기 다음 도착 내리다,길 지나서 내려드릴까요?
BR,857,차  빌리다  사람,렌트카를 빌리는 사람은 어디에 있습니까?
BR,858,돈 많다 하루 갚다 이치 대로 불이치 대로,그 많은 돈을 하루만에 갚는건 불합리해
BR,859,지문 불량 잘 안되다,지문 인식이 안되나요?
BR,860,뒤 차내리다,뒤로 가주세요.
BR,861,집 무엇,집이 어디에 있나요?
BR,862,속 따뜻하다 기분 좋다,속이 너무 따뜻해서 기분이 좋다
BR,863,참 정직 듣다 중에,진실을 듣고 있어
BR,864,가방  맡기다  대출  최고  가능  몇,위탁 수하물의 대출 한도는 몇 Kg인가요?
BR,865,설명 주세요,설명을 주세요.
BR,866,영어 고장,영어가 안되네요.
BR,867,사람 각각 목 말 다르다,사람들은 각각 발음이 다르다
BR,868,소화 안되다 죽다,소화가 안되네요.
BR,869,쌍둥이 찍다 그렇다면 행복 고생 더 2배,쌍둥이를 찍으면 행복과 고생은 두배이다
BR,870,학교 가다 엄마 계시다 아니다,학교에 와보니 엄마가 안 계셨다
BR,871,친하다 어른 가능,친한 친구는 어른이 될 수도 있다
BR,872,나무 이용 만들다 몸 벌레 많다,나무로 만든 몸은 벌레가 많다
BR,873,핸드폰 잃어버리다 그대로 찾다,잃어버린 휴대폰을 되찾습니다.
BR,874,소  돼지  키우다  검사  고기  곳  어디,축산관계자 고기는 어디서 하나요?
BR,875,커피  곳  무엇,커피숍은 무엇에 있습니까?
BR,876,어머니 아들 데려가다 박물관 가다,어머니는 아들을 박물관에 데리고 갔다
BR,877,돈 많다 하루 갚다 투명 불투명,그 많은 돈을 하루만에 갚는건 불투명해
BR,878,가방  짐들다  갚다 납부  최고  가능  몇,위탁 수하물의 보상 한도는 몇 Kg인가요?
BR,879,일 끝 가다 원하다,일을 빨리 끝내고 가고 싶어
BR,880,짐  무게  초과  이용  돈주다  곳,수하물 이용요금은 어디서 내나요?
BR,881,말 고장 잘 안되다,말이 안되네요.
BR,882,목 손묶다 갇히다,목이 결박 당해있어요.
BR,883,오늘 갚다 납부 받다 중에 행복,지금 보상을 받고 있어서 행복하다
BR,884,손가락 움직이다 손가락 마르다 가능,손가락을 자주 움직여야 살이 빠진다
BR,885,방해 사용 안되다 불가능,방해가 안되네요.
BR,886,T 승용차 곳 다음 여기,택시정류장 지나서 내려드릴까요?
BR,887,자동  문열다  숨다 성질  싶다  신고  어디,자동음성신고를 하려고 하는데 어디서 하나요?
BR,888,집 동물 돌보다,가축을 돌보다
BR,889,나 가족 행복 하다,우리 가족은 행복하게 하고 있다
BR,890,살다 나 ?,나서 살아
BR,891,아기  유모차  빌리다  그 곳  곳,유모차 대여소가 저기에 있습니까?
BR,892,한국  항공  표  기 들어 올리는 것을 나타내는 동작  곳,대한항공 카운터는 거기에 있습니까?
BR,893,땅 그리다 사라지다 실종,지도를 분실하였습니다.
BR,894,중 사이 전 곳 저기,중간정류장 못가서 내려주세요.
BR,895,숨다 성질 사용 안되다 고장,음성 인식이 안되네요.
BR,896,대 안 도착,대 단지 안으로 가주세요.
BR,897,미래 보다,미래를 보고 있다
BR,898,음악 전화걸다,음악을 부르세요.
BR,899,옛 과거 싸움 경찰 부르다 부탁,예전에 싸움이 났어요. 경찰을 불러주세요.
BR,900,고속버스 전 저기 곳 차내리다,고속버스정류장 못가서 내려주세요.
BR,901,집 집 넘어지다,집 집이 무너질려고 해요.
BR,902,방해 안되다,방해가 안되네요.
BR,903,어머니 전기 몸 자극 ,어머니가 감전 사고를 당했어요.
BR,904,은행 통장 필요,계좌통장 알려드릴까요?
BR,905,나무 빽빽하다 곳 다음 차내리다,숲 지나서 내려주세요.
BR,906,여자 좋다 되다 또 귀엽다,그녀는 아주 호전적이면서 귀엽다
BR,907,사망 맞다,사망 맞습니다.
BR,908,서울 길 무엇,서울로 가려면 어떻게 가나요?
BR,909,지방  버스  무엇,시외버스 승강장은 무엇에 있습니까?
BR,910,심하다 바람 부르다,폭풍을 불러드릴까요?
BR,911,키 작다 몸 모양 세다,키는 작아도 체격은 세다
BR,912,쪽 많다 혼자 불가능,이 많은 쪽을 혼자서 맡는건 불가능해
BR,913,말,말했어
BR,914,여기 곳 서대문구 홍제동 한양 아파트 집 위 곳 비 물 추락 목적 서다,여기 서대문구 홍제동 한양아파트인데 옥상에서 빗물이 떨어지려고해요.
BR,915,서울 가다 원하다 무엇,서울로 가려면 어떻게 가나요?
BR,916,물건  포장  어느 시간,물건을 포장해서 붙이고 싶은데 언제서 하나요?
BR,917,핸드폰  저축 두다  어디  곳,휴대폰을 저장할 수 있는 곳이 어디입니까?
BR,918,아빠 부친 미국 보내다 위하여 일 열심히,아버지는 부친을 미국으로 유학 보내기 위해 열심히 일했다
BR,919,와이파이2  빌리다  여기,와이파이를 여기에서 빌릴 수 있습니까?
BR,920,닭 새끼 키우다,병아리를 키우다
BR,921,너무 춥다 옷 두껍다 덮다,너무 추워서 옷을 두껍게 덮었다
BR,922,남편 차다 물 마시다 때문에 고생,남편이 찬물을 마시기 때문에 힘들다
BR,923,남자 생각 마지막 실패,그는 오랜 생각끝에 실패했다
