Headword,POS,Same_Sign_Words,Additional_Info,Homonym_Info
달하다,Verb,도달,,
닭,Noun,,,
닮다,Verb,모사 | 베끼다 | 본뜨다 | 모방하다,,
담그다,Verb,넣다,,동음이의어 있음
담그다,Verb,잠기다,,동음이의어 있음
담당,Noun,감당 | 사명 | 책임 | 소임 | 역임 | 맡다 | 책임지다,,
담당자,Noun,책임자,,
담배,Noun,흡연,,
답,Noun,대답,,
답답하다,Adjective,갑갑하다,,
닷새,Noun,,,
당,Noun,달다 | 당분,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
당구,Noun,,,
당근,Noun,홍당무,,
당기다,Verb,앞당기다 | 잡아당기다,,동음이의어 있음
당기다,Verb,권총 | 총 | 쏘다,,동음이의어 있음
당나귀,Noun,나귀,,
당년,Noun,올해 | 금년 | 올,,
당뇨,Noun,당뇨병,,
당뇨병,Noun,당뇨,,
당당하다,Adjective,만족 | 여유 | 자신 | 충족 | 넉넉하다 | 늠름하다 | 떳떳하다 | 충분하다 | 푸짐하다 | 풍부하다 | 듬뿍 | 실컷,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
당도,Noun,도착 | 닿다 | 이르다 | 도달,,
당부,Noun,부탁 | 요청 | 청하다 | 요구,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
당분,Noun,달다 | 당,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
당사자,Noun,본인,,
당선,Noun,뽑다 | 입선 | 선출,,
당선인,Noun,당선자,,
당선자,Noun,당선인,,
당신,Pronoun,,,
당연하다,Adjective,마땅하다 | 응당하다 | 물론,,
당첨,Noun,합격 | 붙다,,
당황,Noun,,,
닿다,Verb,밀착 | 붙다 | 붙이다,,동음이의어 있음
닿다,Verb,도착 | 당도 | 이르다 | 도달,,동음이의어 있음
대,Dependent Noun,,,
대가,Noun,,,
대강,Adverb,대략 | 대충 | 약,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대개,Adverb,일반 | 보통 | 평범하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대결,Noun,대립,,
대구,Noun,대구시,,
대구시,Noun,대구,,
대궐,Noun,고궁 | 궁 | 궁궐 | 궁전,,
대금,Noun,값 | 가격 | 금액 | 돈 | 금전 | 화폐,,
대기,Noun,심호흡 | 호흡 | 공기 | 냄새 | 목숨 | 생명 | 수 | 수명 | 숨 | 숨결 | 숨쉬다,,동음이의어 있음
대기,Noun,기다리다 | 이따가,,동음이의어 있음
대나무,Noun,,,
대낮,Noun,낮 | 백주 | 밝다 | 새다 | 트다 | 환하다 | 훤하다 | 개다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대다,Verb,비교 | 비례 | 견주다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대다수,Noun,대부분 | 주로,,
대단히,Adverb,크다 | 꽤 | 매우 | 몹시 | 무척 | 아주 | 대,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대담,Noun,대화,,
대답,Noun,답,,
대들다,Verb,,,
대등,Noun,균형 | 수평 | 평등 | 표준 | 평평하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대략,Adverb,대강 | 대충 | 약,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대령,Noun,,,
대리,Noun,대신 | 대치 | 대체 | 전환 | 바꾸다,,
대리인,Noun,,,
대립,Noun,대결 | 대치,,
대만,Noun,타이완,,
대머리,Noun,,,
대명사,Noun,,,
대모,Noun,,,
대법원,Noun,,,
대변,Noun,똥,,
대부금,Noun,대출금,,
대부분,Noun,거의 | 거개 | 주로 | 대다수,,
대비,Noun,상왕비,,동음이의어 있음
대비,Noun,예비,,동음이의어 있음
대신,Noun,대리 | 대치 | 대체 | 전환 | 바꾸다,,
대열,Noun,줄 | 늘어서다 | 줄지어 서다 | 행렬,,
대우,Noun,친절 | 접대 | 서비스 | 대접,,
대위,Noun,,,
대응,Noun,일치 | 맞추다,,
대인,Noun,,,
대장,Noun,부장,,
대전,Noun,대전시,,
대전시,Noun,대전,,
대접,Noun,친절 | 대우 | 접대 | 서비스,,
대조,Noun,비교 | 견주다,,
대체,Noun,대리 | 대신 | 대치 | 전환 | 바꾸다,,
대체하다,Verb,돌아서다 | 갈다 | 교체하다,,
대추,Noun,,,
대출금,Noun,대부금,,
대충,Adverb,대략 | 대강 | 약,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
대충,Adverb,넘어가다 | 무성의하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
대치,Noun,대리 | 대신 | 대체 | 전환 | 바꾸다,,동음이의어 있음
대치,Noun,대립,,동음이의어 있음
대통령,Noun,,,
대포,Noun,쏘다 | 발사 | 포,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대표,Noun,,,
대피,Noun,도망 | 도주 | 도피 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망가다 | 도망치다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
대하다,Verb,관하다,,
대학,Noun,대학교,,
대학교,Noun,대학,,
대학생,Noun,,,
대학원,Noun,,,
대한민국,Noun,한국,,
대항하다,Verb,,,
대화,Noun,대담,,
대회,Noun,회,,
댁,Noun,집 | 주택 | 가옥 | 세대 | 호,,
더,Adverb,게다가 | 더구나 | 추가 | 더욱 | 더군다나,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더 없다,Adjective,똑같다 | 똑 닮다 | 같다 | 다하다 | 마치다 | 동일하다 | 말 다했어?,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더구나,Adverb,더 | 게다가 | 추가 | 더욱 | 더군다나,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더군다나,Adverb,더 | 게다가 | 더구나 | 추가 | 더욱,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더디다,Adjective,지각 | 지체 | 늦다 | 굼뜨다 | 느리다 | 천천하다 | 서서히,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더러,Adverb,드물다,,
더럽다,Adjective,때 | 불결 | 지저분하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더미,Noun,무궁무진 | 무진장 | 산더미,,
더부살이,Noun,기생,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더불다,Verb,함께 | 같이 | 동반 | 랑 | 아울러 | -끼리,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더욱,Adverb,더 | 게다가 | 더구나 | 추가 | 더군다나,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
더위,Noun,덥다,,
더하기,Noun,플러스 | 보태기,,
덕수궁,Noun,경운궁 | 명례궁,,
던지다,Verb,투수,,
덜기,Noun,마이너스 | 감표 | 빼기 | 빼기표 | 뺄셈표 | 뺄셈 부호,,
덜다,Verb,빼다 | 깎다 | 제하다 | 배제 | 감면 | 빼기 | 제외 | 공제 | 생략 | 경감,,
덥다,Adjective,더위,,
덧머리,Noun,가발,,
덮다,Verb,이불 | 침구,,
데려가다,Verb,안내 | 인도 | 인솔 | 데리다 | 이끌다,,
데려오다,Verb,,,
데리다,Verb,데려가다 | 안내 | 인도 | 인솔 | 이끌다,,
데모,Noun,시위,,
데우다,Verb,끓다 | 끓이다 | 때다 | 삶다,,
데이트,Noun,,,
덴마크,Noun,,,
도깨비,Noun,,,
도달,Noun,달하다,,동음이의어 있음
도달,Noun,도착 | 당도 | 닿다 | 이르다,,동음이의어 있음
도둑,Noun,절도 | 도적 | 훔치다 | 빼돌리다 | 빼앗다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도래,Verb,오다,,
도령,Noun,총각,,
도로,Adverb,,,동음이의어 있음
도로,Noun,길,,동음이의어 있음
도망,Noun,대피 | 도주 | 도피 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망가다 | 도망치다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도망가다,Verb,대피 | 도망 | 도주 | 도피 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망치다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도망치다,Verb,대피 | 도망 | 도주 | 도피 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망가다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도맡다,Verb,쓰다,,
도미니카,Noun,,,
도배,Noun,,,
도보,Noun,걷다 | 걸음 | 보행,,
도산,Noun,망하다 | 파산 | 망치다,,
도살,Noun,살육,,
도색,Noun,색칠 | 칠,,
도서,Noun,책 | 서적 | 책자 | 펴다,,
도서관,Noun,,,
도시,Noun,도회 | 시 | 도회지,,
도시락,Noun,,,
도안,Noun,디자인 | 설계,,
도안자,Noun,디자이너 | 설계사,,
도우미,Noun,,,
도움,Noun,돕다 | 거들다 | 기여 | 보조 | 원조 | 지원 | 찬조,,
도의,Noun,예의 | 에티켓,,
도입,Noun,,,
도장,Noun,스탬프 | 인 | 인장,,
도적,Noun,절도 | 도둑 | 훔치다 | 빼돌리다 | 빼앗다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도제,Noun,제자 | 모나코 | 사도,,
도주,Noun,대피 | 도망 | 도피 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망가다 | 도망치다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도중,Noun,중앙 | 중 | 중도 | 가운데 | 중심,,
도착,Noun,당도 | 닿다 | 이르다 | 도달,,
도쿄,Noun,동경,,
도토리,Noun,,,
도피,Noun,대피 | 도망 | 도주 | 줄행랑 | 탈출 | 내빼다 | 달아나다 | 도망가다 | 도망치다 | 빠져나가다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
도회,Noun,도시 | 시 | 도회지,,
도회지,Noun,도시 | 도회,,
독,Noun,독하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
독각,Noun,자각 | 연각,,
독감,Noun,,,
독도,Noun,,,
독립,Noun,자립 | 자주독립,,
독립문,Noun,,,
독수리,Noun,수리,,
독어,Noun,독일어,,
독일,Noun,,,
독일어,Noun,독어,,
독자,Noun,외동아들 | 외아들,,
독재,Noun,,,
독촉,Noun,서두르다 | 긴급 | 재촉 | 응급 | 급하다 | 시급하다,,
독특,Adjective,유별나다 | 유별스럽다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
독하다,Adjective,독,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
돈,Noun,값 | 대금 | 가격 | 금액 | 금전 | 화폐,,
돈벌이,Noun,,,
돈의문,Noun,서대문,,
돋다,Verb,일출 | 동 | 아침,해가,
돋보기,Noun,확대경,,
돌,Noun,,,
돌다,Verb,미치다,,
돌려주다,Verb,반납 | 반려 | 반환 | 상환,,
돌림병,Noun,전염병,,
돌머리,Noun,석두,,
돌보다,Verb,보살피다 | 보살핌,,
돌아가다,Verb,되돌아가다,,
돌아다니다,Verb,배회 | 방황 | 헤매다,,
돌아서다,Verb,갈다 | 교체하다 | 대체하다,,동음이의어 있음
돌아서다,Verb,등을 돌리다 | 금이 가다,관계에,동음이의어 있음
돌아오다,Verb,되돌아오다 | 귀환,,
돌연,Adverb,홀연,,
돌잔치,Noun,,,
돌출,Noun,,,
돌파,Noun,,,
돕다,Verb,거들다 | 기여 | 도움 | 보조 | 원조 | 지원 | 찬조,,
동,Noun,뜨다 | 해돋이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동감,Noun,일치 | 동의 | 공감,,
동갑,Noun,동년 | 동년배,,
동거,Noun,,,
동거인,Noun,,,
동결,Noun,얼다,,
동경,Noun,도쿄,,동음이의어 있음
동경,Noun,그리워하다 | 사모 | 그리다 | 그립다,,동음이의어 있음
동기,Noun,동창 | 동창생,,
동나다,Verb,매진 | 고갈 | 소모 | 매진되다 | 바닥나다 | 없애다 | 다 팔리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동남아시아,Noun,,,
동냥,Noun,구걸,,
동네,Noun,마을,,
동년,Noun,동갑 | 동년배,,
동년배,Noun,동갑 | 동년,,
동녘,Noun,동쪽 | 동 | 동방,,
동대문,Noun,,,
동맹,Noun,,,
동메달,Noun,,,
동무,Noun,친구 | 벗 | 우인,,
동물,Noun,짐승,,
동물원,Noun,,,
동반,Noun,함께 | 같이 | 랑 | 아울러 | 더불다 | -끼리,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
동반,Noun,동행,,동음이의어 있음
동반자,Noun,,,
동방,Noun,동쪽 | 동 | 동녘,,
동복,Noun,겨울옷,,
동사,Noun,,,
동사무소,Noun,동주민센터,,
동생,Noun,,,
동시,Noun,,,
동아리,Noun,단체 | 그룹 | 모임 | 부 | 부분 | 부서 | 서클 | 회 | 팀 | 무리,,
동아시아,Noun,,,
동안,Dependent Noun,사이 | 기간,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동양,Noun,,,
동요,Noun,흔들다,,
동의,Noun,일치 | 동감 | 공감,,
동일,Adjective,마찬가지 | 같다 | 맞다 | 동 | 똑같다,,
동일하다,Adjective,똑같다 | 똑 닮다 | 같다 | 다하다 | 더 없다 | 마치다 | 말 다했어?,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동작,Noun,행동 | 거동 | 짓 | 품행 | 행실 | 행위 | 움직이다 | 행하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동전,Noun,주화,,
동족,Noun,,,
동주민센터,Noun,동사무소,,
동쪽,Noun,동 | 동녘 | 동방,,
동창,Noun,동기 | 동창생,,
동창생,Noun,동기 | 동창,,
동체,Noun,혼신 | 온몸 | 몸 | 몸뚱이 | 몸체 | 신체,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
동포,Noun,겨레,,
동해,Noun,,,
동행,Noun,동반,,
돛,Noun,요트,,
돼지,Noun,,,
돼지고기,Noun,,,
되다,Verb,,,
되돌리다,Verb,복귀 | 환원 | 그대로,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
되돌아가다,Verb,돌아가다,,
되돌아오다,Verb,돌아오다 | 귀환,,
되풀이,Adverb,,,
된소리,Noun,경음,,
된장,Noun,,,
된장찌개,Noun,,,
두 번째,Determiner,둘째,,
두 사람,Noun,,,
두근거리다,Verb,불안 | 설레다 | 울렁거리다 | 조마조마하다 | 두근두근,,
두근두근,Adverb,두근거리다 | 불안 | 설레다 | 울렁거리다 | 조마조마하다,,
두껍다,Adjective,,,
두뇌,Noun,머리 | 뇌,,
두다,Verb,맡기다 | 소장 | 놓다 | 놓아두다,,
두드러지다,Verb,,,
두려워하다,Verb,무섭다 | 겁 | 겁나다 | 두렵다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
두렵다,Adjective,무섭다 | 겁 | 겁나다 | 두려워하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
두목,Noun,우두머리 | 수장,,
두발,Noun,머리카락 | 모발 | 머리털,,
두부,Noun,,,
두절,Noun,끊어지다,,
두통,Noun,,,
둘,Numeral,이,,
둘 중 어느 것,Pronoun,,,
둘러대다,Verb,,,
둘러싸다,Verb,감싸다 | 에워싸다,,
둘레,Noun,주위 | 주변,,
둘이,Noun,피차,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
둘째,Numeral,두 번째,,
뒤따르다,Verb,수행 | 따라가다 | 따르다 | 좇다 | 쫓다 | 쫓아가다,,
뒤떨어지다,Verb,뒤지다,,
뒤엎다,Verb,뒤집어엎다 | 그러나 | 그런데 | 그렇지만 | 하지만,,
뒤적이다,Verb,들추다 | 캐다,,
뒤지다,Verb,뒤떨어지다,,동음이의어 있음
뒤지다,Verb,낙오,,동음이의어 있음
뒤집어엎다,Verb,뒤엎다 | 그러나 | 그런데 | 그렇지만 | 하지만,,
뒤쪽,Noun,뒷머리 | 후방,,
뒷머리,Noun,뒤쪽 | 후방,,
드디어,Adverb,결과 | 결말 | 마지막 | 최종 | 최후 | 결국 | 마침내,,
드라마,Noun,,,
드러나다,Verb,나타나다 | 출현,,
드러내다,Verb,발표 | 광고 | 표시 | 표현 | 나타내다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
드러눕다,Verb,누이다 | 눕다 | 눕히다,,
드럼,Noun,,,
드레스,Noun,,,
드리다,Verb,봉사 | 공양 | 기증 | 제출 | 바치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
드문드문,Adverb,간혹 | 가끔 | 때때로 | 이따금 | 종종 | 간간이 | 종종히 | 혹,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
드물다,Adjective,더러,,
득하다,Verb,획득,,
든가,Particle,든지,,
든지,Particle,든가,,
듣다,Verb,소리 | 소식 | 청각,,동음이의어 있음
듣다,Verb,오디오 | 소식 | 청각,,동음이의어 있음
들,Suffix,여러 | 여러가지,,
들다,Verb,가방,,동음이의어 있음
들다,Verb,,,동음이의어 있음
들어가다,Verb,방문하다 | 입장,,동음이의어 있음
들어가다,Verb,가담 | 참가 | 참석 | 참여 | 출석 | 진출,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
들이쉬다,Verb,,,
들추다,Verb,뒤적이다 | 캐다,,
들키다,Verb,탄로 | 발각,,
듬뿍,Adverb,만족 | 여유 | 자신 | 충족 | 넉넉하다 | 늠름하다 | 당당하다 | 떳떳하다 | 충분하다 | 푸짐하다 | 풍부하다 | 실컷,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
듯싶다,Auxiliary Adjective,듯하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
듯하다,Auxiliary Adjective,듯싶다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
등,Dependent Noun,,단위의,
등기,Noun,,,
등대,Noun,광탑,,
등록,Noun,가입,,
등록비,Noun,,,
등산,Noun,,,
등산가,Noun,산악인,,
등을 돌리다,Verb,돌아서다 | 금이 가다,관계에,
등치다,Verb,긁어먹다,,
등표,Noun,등호,,
등호,Noun,등표,,
디자이너,Noun,도안자 | 설계사,,
디자인,Noun,도안 | 설계,,
디지털,Noun,,,
따귀,Noun,,,
따돌리다,Verb,,,
따뜻하다,Adjective,남쪽 | 남 | 봄 | 포근하다,,
따라가다,Verb,뒤따르다 | 수행 | 따르다 | 좇다 | 쫓다 | 쫓아가다,,
따로,Adverb,분리하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
따르다,Verb,뒤따르다 | 수행 | 따라가다 | 좇다 | 쫓다 | 쫓아가다,,
따분하다,Adjective,지루하다,,
딱,Adverb,맞다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
딱 맞다,Adjective,마침 | 알맞다,,
딱딱하다,Adjective,강하다 | 견고하다 | 굳다 | 단단하다 | 공고하다 | 세다 | 억세다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
딴,Determiner,다르다 | 상이하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
딸,Noun,여식,,
딸기,Noun,,,
땀,Noun,비지땀 | 땀방울,,
땀방울,Noun,비지땀 | 땀,,
땅,Noun,육지 | 토지,,
땅콩,Noun,,,
때,Noun,더럽다 | 불결 | 지저분하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
때다,Verb,끓다 | 끓이다 | 데우다 | 삶다,,
때때로,Adverb,간혹 | 가끔 | 이따금 | 종종 | 간간이 | 드문드문 | 종종히 | 혹,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
때리다,Verb,손찌검 | 패다 | 후려치다,,
때문,Dependent Noun,바람 | 탓 | 말미암다 | 인하다 | -니까,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
떠나갔다,Verb,,,
떠나다,Verb,송별 | 이별 | 작별 | 헤어지다,,
떠들다,Verb,,,
떠맡다,Verb,,,
떠밀다,Verb,내밀다 | 밀다,,
떠오르다,Verb,징그럽다 | 걸리다,좋지 않은 기억이나 생각이 | 마음에; (같은 수어를 사용하는 어휘와 품사 다를 수 있음),
떡,Noun,,,
떡국,Noun,,,
떨다,Verb,떨리다 | 떨림,,
떨리다,Verb,떨다 | 떨림,,
떨림,Noun,떨다 | 떨리다,,
떨어지다,Verb,곤두박질 | 곤두질,,동음이의어 있음
떨어지다,Verb,바닥나다,쌀이 | 쌀이,동음이의어 있음
떨어지다,Verb,실격 | 지다 | 패배하다 | 패하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
떳떳하다,Adjective,만족 | 여유 | 자신 | 충족 | 넉넉하다 | 늠름하다 | 당당하다 | 충분하다 | 푸짐하다 | 풍부하다 | 듬뿍 | 실컷,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
떼,Noun,군집 | 무리,,
또,Adverb,그리고 | 다시,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
똑 닮다,Verb,똑같다 | 같다 | 다하다 | 더 없다 | 마치다 | 동일하다 | 말 다했어?,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
똑같다,Adjective,마찬가지 | 같다 | 동일 | 맞다 | 동,,동음이의어 있음
똑같다,Adjective,똑 닮다 | 같다 | 다하다 | 더 없다 | 마치다 | 동일하다 | 말 다했어?,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
똑똑하다,Adjective,명확하다 | 정확 | 뚜렷하다 | 명료하다 | 명백하다 | 분명하다 | 선명하다 | 확실하다 | 단연 | 역력하다 | 장장하다 | 틀림없이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
똑똑하다,Adjective,영리하다,,동음이의어 있음
똑바로,Adverb,과 | -꾼 | 전공,,
똑바르다,Adjective,곧다 | 단정하다 | 바르다 | 반듯하다 | 올바르다 | 점잖다 | 올곧다 | 정하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
똥,Noun,대변,,
뚜렷하다,Adjective,명확하다 | 정확 | 똑똑하다 | 명료하다 | 명백하다 | 분명하다 | 선명하다 | 확실하다 | 단연 | 역력하다 | 장장하다 | 틀림없이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뚱땡이,Noun,뚱뚱이 | 뚱뚱보 | 뚱보,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뚱뚱보,Noun,뚱뚱이 | 뚱보 | 뚱땡이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뚱뚱이,Noun,뚱뚱보 | 뚱보 | 뚱땡이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뚱뚱하다,Adjective,비대 | 살찌다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뚱보,Noun,뚱뚱이 | 뚱뚱보 | 뚱땡이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뛰다,Verb,인상 | 오르다,,동음이의어 있음
뛰다,Verb,달리기 | 달리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
뛰어나다,Adjective,,,
뜨개질,Noun,,,
뜨겁다,Adjective,화끈,,
뜨다,Verb,개안,,동음이의어 있음
뜨다,Verb,동 | 해돋이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
뜨이다,Verb,띄다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뜻,Noun,까닭 | 명목 | 의미 | 이유 | 이치 | 뜻하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
뜻밖에,Adverb,의외,,
뜻하다,Verb,까닭 | 뜻 | 명목 | 의미 | 이유 | 이치,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
띄다,Verb,뜨이다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
띠,Noun,,,
띵하다,Adjective,,,
라디오,Noun,,,
라면,Noun,,,
라이벌,Noun,맞수,,
라이트,Noun,광 | 광선 | 빛 | 조명 | 비추다 | 비치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
라인,Noun,선,,
랑,Particle,함께 | 같이 | 동반 | 아울러 | 더불다 | -끼리,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
러시아,Noun,,,
럭비,Noun,,,
런던,Noun,,,
레몬,Noun,,,
레바논,Noun,,,
레슬링,Noun,,,
레즈비언,Noun,,,
레코드,Noun,녹음기 | 녹음 | 카세트,,
레크리에이션,Noun,오락,,
로그인,Noun,,,
로또 복권,Noun,,,
로마,Noun,,,
로스앤젤레스,Noun,엘에이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
로프,Noun,끈 | 줄 | 테이프 | 케이블,,
루마니아,Noun,,,
룩셈부르크,Noun,,,
리,Noun,,,
리더,Noun,지도자,,
리모컨,Noun,,,
리비아,Noun,,,
리투아니아,Noun,,,
링크,Noun,접속 | 연결,,
마구,Adverb,자유 | 임의 | 마음껏 | 마음대로 | 멋대로 | 제멋대로 | 함부로,,
마귀,Noun,귀신 | 사탄 | 악마 | 유령,,
마누라,Noun,미시즈 | 배우자 | 부인 | 아내 | 처,,
마늘,Noun,,,
마다,Particle,,,
마땅하다,Adjective,당연하다 | 응당하다,,
마라톤,Noun,,,
마련,Noun,준비 | 장만 | 채비 | 차리다 | 챙기다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
마르다,Adjective,야위다 | 여위다 | 수척하다,,동음이의어 있음
마르다,Verb,중지 | 끄다 | 멈추다 | 그만 | 정지,,동음이의어 있음
마리아,Noun,성모마리아,,
마비,Noun,,,
마술,Noun,요술,,
마스크,Noun,,,
마시다,Verb,,,
마약,Noun,아편 | 중독 | 탐닉,,
마을,Noun,동네,,
마음,Noun,심리 | 심정,,
마음껏,Adverb,자유 | 임의 | 마구 | 마음대로 | 멋대로 | 제멋대로 | 함부로,,
마음대로,Adverb,자유 | 임의 | 마구 | 마음껏 | 멋대로 | 제멋대로 | 함부로,,
마음에 들다,Verb,,,
마이너스,Noun,감표 | 덜기 | 빼기 | 빼기표 | 뺄셈표 | 뺄셈 부호,,
마이크,Noun,마이크로폰,,
마이크로폰,Noun,마이크,,
마저,Adverb,,,
마주 보다,Verb,,,
마주치다,Verb,,,
마중,Noun,,,
마지막,Noun,결과 | 결말 | 최종 | 최후 | 결국 | 드디어 | 마침내,,
마지못하다,Adjective,무릅쓰다 | 불구하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
마찬가지,Noun,피장파장 | 매일반 | 매한가지,,
마찰,Noun,갈등 | 거북하다 | 껄끄럽다 | 낯설다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
마치,Adverb,척하다 | 체하다 | 처럼,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
마치다,Verb,그만 | 끝 | 까지 | 종결 | 종료 | 끝나다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
마치다,Verb,똑같다 | 똑 닮다 | 같다 | 다하다 | 더 없다 | 동일하다 | 말 다했어?,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
마침,Adverb,딱 맞다 | 알맞다,,
마침내,Adverb,결과 | 결말 | 마지막 | 최종 | 최후 | 결국 | 드디어,,
마카오,Noun,,,
마케도니아,Noun,,,
마크,Noun,증 | -증,,
마흔,Numeral,사십,,
막걸리,Noun,,,
막내,Noun,막내아들 | 막내딸,,
막내딸,Noun,막내,,
막내아들,Noun,막내,,
막다,Verb,막히다 | 먹다,,동음이의어 있음
막다,Verb,방어 | 방지 | 수비 | 저지 | 거절 | 차단,,동음이의어 있음
막론하다,Verb,관계없다 | 무관하다 | 상관없다 | 상관하지 않다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
막연하다,Adjective,애매하다 | 가물거리다 | 가물대다 | 불분명하다 | 묘연하다 | 아물거리다 | 흐리다 | 희미하다 | 모호 | 불확실 | 어렴풋이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
